;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 29-01-2024 06:02:07 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xC0CC    	RJMP       _main
0x0002	0xCFFE    	RJMP       0
0x0004	0xCFFD    	RJMP       0
0x0006	0xCFFC    	RJMP       0
0x0008	0xCFFB    	RJMP       0
0x000A	0xCFFA    	RJMP       0
0x000C	0xCFF9    	RJMP       0
0x000E	0xCFF8    	RJMP       0
0x0010	0xC067    	RJMP       _vTimer1_ISR
0x0012	0xCFF6    	RJMP       0
0x0014	0xCFF5    	RJMP       0
0x0016	0xC095    	RJMP       _vSerialRx_ISR
0x0018	0xCFF3    	RJMP       0
0x001A	0xCFF2    	RJMP       0
0x001C	0xCFF1    	RJMP       0
0x001E	0xCFF0    	RJMP       0
0x0020	0xCFEF    	RJMP       0
0x0022	0xCFEE    	RJMP       0
0x0024	0xCFED    	RJMP       0
_main:
0x019A	0xE5BF    	LDI        R27, 95
0x019C	0xBFBD    	OUT        SPL+0, R27
0x019E	0xE0B4    	LDI        R27, 4
0x01A0	0xBFBE    	OUT        SPL+1, R27
0x01A2	0xD087    	RCALL      345
;MyProject.c,57 :: 		void main()
;MyProject.c,60 :: 		LED_DATA = 1;
0x01A4	0x922F    	PUSH       R2
0x01A6	0x923F    	PUSH       R3
0x01A8	0x924F    	PUSH       R4
0x01AA	0xB3B5    	IN         R27, PORTC0_bit+0
0x01AC	0x60B1    	SBR        R27, 1
0x01AE	0xBBB5    	OUT        PORTC0_bit+0, R27
;MyProject.c,61 :: 		LED_DDR  = 0;
0x01B0	0xB3B7    	IN         R27, DDB5_bit+0
0x01B2	0x7DBF    	CBR        R27, 32
0x01B4	0xBBB7    	OUT        DDB5_bit+0, R27
;MyProject.c,62 :: 		USART_Init();
0x01B6	0xDF75    	RCALL      _USART_Init+0
;MyProject.c,63 :: 		vInitTimer_1();
0x01B8	0xDF82    	RCALL      _vInitTimer_1+0
;MyProject.c,64 :: 		PORTD2_bit = 1;
0x01BA	0xB3B2    	IN         R27, PORTD2_bit+0
0x01BC	0x60B4    	SBR        R27, 4
0x01BE	0xBBB2    	OUT        PORTD2_bit+0, R27
;MyProject.c,66 :: 		SREG_I_bit = 0;
0x01C0	0xB7BF    	IN         R27, SREG_I_bit+0
0x01C2	0x77BF    	CBR        R27, 128
0x01C4	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.c,67 :: 		RXEN_bit = 0;
0x01C6	0xB1BA    	IN         R27, RXEN_bit+0
0x01C8	0x7EBF    	CBR        R27, 16
0x01CA	0xB9BA    	OUT        RXEN_bit+0, R27
;MyProject.c,69 :: 		USART_SendByte('M');
0x01CC	0xE4BD    	LDI        R27, 77
0x01CE	0x2E2B    	MOV        R2, R27
0x01D0	0xDF62    	RCALL      _USART_SendByte+0
;MyProject.c,70 :: 		USART_SendByte('I');
0x01D2	0xE4B9    	LDI        R27, 73
0x01D4	0x2E2B    	MOV        R2, R27
0x01D6	0xDF5F    	RCALL      _USART_SendByte+0
;MyProject.c,71 :: 		USART_SendByte('C');
0x01D8	0xE4B3    	LDI        R27, 67
0x01DA	0x2E2B    	MOV        R2, R27
0x01DC	0xDF5C    	RCALL      _USART_SendByte+0
;MyProject.c,72 :: 		USART_SendByte('R');
0x01DE	0xE5B2    	LDI        R27, 82
0x01E0	0x2E2B    	MOV        R2, R27
0x01E2	0xDF59    	RCALL      _USART_SendByte+0
;MyProject.c,73 :: 		USART_SendByte('O');
0x01E4	0xE4BF    	LDI        R27, 79
0x01E6	0x2E2B    	MOV        R2, R27
0x01E8	0xDF56    	RCALL      _USART_SendByte+0
;MyProject.c,74 :: 		USART_SendByte('L');
0x01EA	0xE4BC    	LDI        R27, 76
0x01EC	0x2E2B    	MOV        R2, R27
0x01EE	0xDF53    	RCALL      _USART_SendByte+0
;MyProject.c,75 :: 		USART_SendByte('O');
0x01F0	0xE4BF    	LDI        R27, 79
0x01F2	0x2E2B    	MOV        R2, R27
0x01F4	0xDF50    	RCALL      _USART_SendByte+0
;MyProject.c,76 :: 		USART_SendByte('G');
0x01F6	0xE4B7    	LDI        R27, 71
0x01F8	0x2E2B    	MOV        R2, R27
0x01FA	0xDF4D    	RCALL      _USART_SendByte+0
;MyProject.c,77 :: 		SREG_I_bit = 1;
0x01FC	0xB7BF    	IN         R27, SREG_I_bit+0
0x01FE	0x68B0    	SBR        R27, 128
0x0200	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.c,78 :: 		RXEN_bit = 1;
0x0202	0xB1BA    	IN         R27, RXEN_bit+0
0x0204	0x61B0    	SBR        R27, 16
0x0206	0xB9BA    	OUT        RXEN_bit+0, R27
;MyProject.c,79 :: 		LED_DATA = 0;
0x0208	0xB3B5    	IN         R27, PORTC0_bit+0
0x020A	0x7FBE    	CBR        R27, 1
0x020C	0xBBB5    	OUT        PORTC0_bit+0, R27
;MyProject.c,80 :: 		vClearBuffer();
0x020E	0xDF18    	RCALL      _vClearBuffer+0
;MyProject.c,81 :: 		while(1)
L_main0:
;MyProject.c,83 :: 		LED_DATA = ~LED_DATA;
0x0210	0xB205    	IN         R0, PORTC0_bit+0
0x0212	0xE0B1    	LDI        R27, 1
0x0214	0x260B    	EOR        R0, R27
0x0216	0xBA05    	OUT        PORTC0_bit+0, R0
;MyProject.c,84 :: 		delay_ms(1000);
0x0218	0xE229    	LDI        R18, 41
0x021A	0xE916    	LDI        R17, 150
0x021C	0xE800    	LDI        R16, 128
L_main2:
0x021E	0x950A    	DEC        R16
0x0220	0xF7F1    	BRNE       L_main2
0x0222	0x951A    	DEC        R17
0x0224	0xF7E1    	BRNE       L_main2
0x0226	0x952A    	DEC        R18
0x0228	0xF7D1    	BRNE       L_main2
;MyProject.c,124 :: 		ucPacketIndex=0;
0x022A	0xE0B0    	LDI        R27, 0
0x022C	0x006A93B0  	STS        _ucPacketIndex+0, R27
;MyProject.c,125 :: 		SREG_I_bit = 0;
0x0230	0xB7BF    	IN         R27, SREG_I_bit+0
0x0232	0x77BF    	CBR        R27, 128
0x0234	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.c,126 :: 		RXEN_bit = 0;
0x0236	0xB1BA    	IN         R27, RXEN_bit+0
0x0238	0x7EBF    	CBR        R27, 16
0x023A	0xB9BA    	OUT        RXEN_bit+0, R27
;MyProject.c,127 :: 		vSendPacket(&ucInStat_1_ON,8);
0x023C	0xE0B8    	LDI        R27, 8
0x023E	0x2E4B    	MOV        R4, R27
0x0240	0xE6B0    	LDI        R27, lo_addr(_ucInStat_1_ON+0)
0x0242	0x2E2B    	MOV        R2, R27
0x0244	0xE0B0    	LDI        R27, hi_addr(_ucInStat_1_ON+0)
0x0246	0x2E3B    	MOV        R3, R27
0x0248	0xDF0B    	RCALL      _vSendPacket+0
;MyProject.c,128 :: 		SREG_I_bit = 1;
0x024A	0xB7BF    	IN         R27, SREG_I_bit+0
0x024C	0x68B0    	SBR        R27, 128
0x024E	0xBFBF    	OUT        SREG_I_bit+0, R27
